8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	4	5	2	3	1
0beabab2-fb49-460e-a6e6-f35a202e3348	1	2	4	3	5
87da1a22-df0b-410c-b186-439700b70ba6	1	3	5	4	2
2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	1	2	5	4	3
c71bb23b-7731-4233-8298-76ba6886cee1	4	2	3	5	1
4d7b022e-25d2-4300-a9b0-24ab35f4045b	5	4	1	2	3
8036c905-f23e-4976-83a1-85d679b5e0c2	3	2	4	5	1
77338898-07d4-4143-8451-284540c8b082	5	4	2	3	1
110fafd1-2bb7-4ffe-aac7-475706165d41	2	4	3	5	1
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	4	2	5	3	1
c400d38a-54fc-45da-99ed-558fcfc81016	5	3	2	1	4
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	5	1	3	2	4
3be3719a-ae77-4106-88ea-988afb19db99	1	2	4	3	5
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	5	2	4	3	1
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	5	4	2	1	3
038ac579-052e-4f5d-837a-772e98961cc0	3	1	2	4	5
b94e1810-9869-4af6-bb74-b4a51c46f3d2	3	1	4	2	5
6be1d668-0d92-45bb-a423-bd12d00c1472	3	1	4	5	2
c50cf35d-564d-40c9-8784-80b4fdec9d16	5	2	4	3	1
ae7e744e-fd27-46c2-befb-7e8427cb679c	5	4	2	3	1
71121d19-1e7b-470b-adad-a83ec73810e3	1	4	5	2	3
c289a8e1-fa2a-43b5-8165-e5289b19e46d	2	4	1	3	5
ca187b8e-e77e-4d50-9b16-d508333f61a9	4	5	1	2	3
f3643541-c339-4377-851d-144ea400d551	1	4	3	2	5
c2e6a18e-1cff-490a-821a-52c253ac5977	1	2	4	5	3
ba8e1ad2-ce23-4bae-8b93-9f9ab9053616	3	1	4	2	5
01d0154e-3683-4002-a392-43a35bb74d88	1	5	3	4	2
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	1	5	2	4	3
9a66b66d-034d-495e-a60e-e22c25e0e0fa	2	4	1	5	3
aab4ee80-fc00-4d9c-a127-a63b54dfd193	4	1	5	3	2
8d6d55d1-1123-453c-b9dc-6fcacfa72ad2	3	4	2	1	5
67d0dd0b-4d0f-4d3f-a31d-65ae545f129a	3	4	2	1	5
9cfdbb5e-8208-483c-9e1d-e4ba965e9db6	4	3	5	2	1
2773b6d4-00f4-41d0-9cac-de1a205efd38	4	5	3	2	1
32aa9bd0-b498-4a63-9cd8-0d87198a5a41	1	5	4	2	3
013ac572-0602-47c3-837a-82e5ac717a05	1	5	3	4	2
